number	category	artwork_title	artist	date	style	media	explanation
77	Modern Art	I Saw the Figure 5 in Gold (William Carlos Williams)	Charles Demuth	1928	Precisionism	oil, paper	"I Saw the Figure 5 in Gold" is one of a series of eight abstract portraits of friends, inspired by Gertrude Stein's word-portraits, that Demuth made between 1924 and 1929. This painting pays homage to a poem by William Carlos Williams. Like Marsden Hartley's "Portrait of a German Officer" and Arthur Dove's "Ralph Dusenberry," this portrait consists not of a physical likeness of the artist's friend but of an accumulation of images associated with him — the poet's initials and the names "Bill" and "Carlos" that together form a portrait. Williams' poem "The Great Figure" describes the experience of seeing a red fire engine with the number 5 painted on it racing through the city streets. While Demuth's painting is not an illustration of Williams's poem, we can certainly sense its "rain/and lights" and the "gong clangs/siren howls/and wheels rumbling." The bold 5 both rapidly recedes and races forward in space, and the round forms of the number, the lights, the street lamp, and the arcs at the lower left and upper right are played against the straight lines of the fire engine, the buildings, and the rays of light, infusing the picture with a rushing energy that perfectly expresses the spirit of the poem.
78	Modern Art	Anthropometry: Princess Helena	Yves Klein	1960	Nouveau Réalisme	Oil on paper on wood	Klein employed female models as "living paintbrushes" to make this work and others in his Anthropometry series, named after the study of human body measurements. "In this way," the artist said, "I stayed clean. I no longer dirtied myself with color, not even the tips of my fingers." Klein directed the models, covered in International Klein Blue—his patented blue paint—to make imprints of their bodies on large sheets of paper. He staged the making of Anthropometries as elaborate performances for an audience, complete with blue cocktails and a performance of his Monotone Symphony—a single note played for twenty minutes, followed by twenty minutes of silence.
79	Modern Art	Kinetic Construction (Standing Wave)	Naum Gabo	1919 - 1920	Kinetic Art	wood, metal	In the aftermath of the Russian Revolution, when this work was made, materials were hard to come by. 'It was the height of civil war, hunger and disorder in Russia. To find any part of machinery was next to impossible', said Gabo. Originally made to demonstrate the principles of kinetics to his students, it reflects the artist's belief in a sculpture in which space and time were active components. A strip of metal is made to oscillate so that a standing wave is set up. This movement in real time creates the illusion of volumetric space.
80	Modern Art	Windows	Robert Delaunay	1912	Orphism	Oil and wax on canvas	In his Windows series, a group of twenty-two paintings made between April and December of 1912, Delaunay rejected painting’s traditional function as a window onto an imaginary world. Instead he turned to the pictorial surface as a place where the process of seeing itself could be recorded. “Without visual perception there is no light, no movement,” Delaunay wrote in the summer of 1912. “This movement is provided by relationships of uneven measures, by color contrasts, which constitute Reality.” Light and its structuring of vision, the simultaneous contrasts of colors and their steady rhythmic motion, became the subjects of Delaunay’s Windows, setting the stage for his move into abstraction. “The Windows,” he wrote, “truly began my life as an artist.”
81	Modern Art	Mystery and Melancholy of a Street	Giorgio de Chirico	1914	Metaphysical art	oil, canvas	The painting represents an encounter between two figures: a small girl running with a hoop and a statue that is present in the painting only through its shadow. The girl is moving towards the source of bright light coming from behind the building on the right and illuminating intensively the arcades on the left. The bright yellow corridor stretched up to the horizon separates two zones: light and darkness. If you look closely at the two sharply contrasted buildings you will notice that lightning is not their only distinction. De Chirico intentionally used two contradictory vanishing points (a point in the picture plane that is the intersection of the projections (or drawings) of a set of parallel lines), thus destroying any resemblance to reality. All of the lines of the fully illuminated building on the left meet slightly above the horizon; the alignments of the dark building meet at a point where the truck roof touches the yellow of the ground. One last detail concerning the perspective is an isometric depiction of a truck, or freight car, mysteriously lit by a light coming from…well, nowhere. This juxtaposition of light sources and perspectives enabled de Chirico to create a mysterious and impossible universe where spaces will never converge and the girl will never reach the statue.
82	Modern Art	Dawn	Odd Nerdrum	1990	Neo-baroque	oil, canvas	Dawn is an example of the imaginary world the artist projects in his paintings: in this case, it is a bleak and barren landscape populated by four figures. The artist presents a surreal scene: four male figures, identical in appearance, are seated turned sideways with their mouths gaping. Even though they are a group, these figures do not relate to each other. Nerdrum repeats this scheme in other paintings such as Wanderers by the Sea (2001), Dust Lickers (2005) and Limbo (2006). In Dawn, the mysterious nature of the painting is enhanced by the strange garments. For instance, the figures upper limbs are restricted by the black cloaks that cover the top halves of their bodies.

83	Modern Art	Violin and Pipe, 'Le Quotidien'	Georges Braque	1913	Synthetic Cubism	chalk, charcoal, collage, paper	Collage helped Braque to realize that, "color acts simultaneously with form but has nothing to do with it,". He made collages to inspire painting compositions, but also as works themselves. In Violin and Pipe, he chooses a stringed instrument as his subject matter. Since there is no concrete evidence that this is a violin, one can understand better how Braque is studying the shapes within the object and pulling them apart to move them around, as if shuffling a deck of cards.
84	Modern Art	Creation	Diego Rivera	1922 - 1923	Muralism	fresco, gold leaf	His first government-commissioned mural, Creation was created over the course of a year and covers over a thousand square feet. The figures in the mural are over twelve feet high, which were in proportion to the huge pipe organ which surrounded the wall. Although it was widely popular, Rivera felt that the painting was too Italian in technique, and he did not like it. During the painting of the mural, Rivera felt compelled to carry a pistol with him at all times, to protect himself from the right-wing students.
85	Modern Art	Japan's (Camille Monet in Japanese Costume)	Claude Monet	1876	Japonism	oil, canvas	Monet exhibited this work at the second group show of the Impressionist painters in 1876, where it attracted much attention. Large-scale figure paintings had traditionally been considered the most significant challenge for an artist. Using this format, Monet created a virtuoso display of brilliant color that is also a witty comment on the current Paris fad for all things Japanese. The woman shown wrapped in a splendid kimono and surrounded by fans is Monet's wife, Camille, wearing a blond wig to emphasize her Western identity.
86	Modern Art	Cyclist	Natalia Goncharova	1913	Cubo-Futurism	oil, canvas	The titular cyclist is a male figure bent over his bicycle while pedaling through a town or city. The street beneath the cyclist is cobbled while behind him lies a row of shop windows. Goncharova was an early Russian developer of Cubo-Futurism, combining characteristics of both Futurism and Cubism in Cyclist. Cubist fragmentation, for example, is used to indicate the cyclist's speed. Movement is also portrayed in the work's Futurist elements, such as its repetition of forms and dislocation of contours. The dynamic effect of multiplied forms and repeated delineation is further amplified by Goncharova's use of broad brushstrokes. The presence of urban life, another concern of Futurism, is included in the work through the use of street signs in the background. However, the composition is distinct from classical Futurist works due to its higher level of visual balance. In particular, Cyclist contrasts with the more abstract and dematerialized representation of cycling found in Umberto Boccioni's 1913 painting Dynamism of a Cyclist.
87	Modern Art	The Vision after the Sermon (Jacob wrestling with the Angel)	Paul Gauguin	1888	Cloisonnism	oil, canvas	One of the most famous works by Paul Gauguin, Vision After the Sermon: Jacob Wrestling with the Angel (1888) was painted during the artist's stay in Pont-Aven, Brittany. The painting refers to the biblical story of Jacob, who crossed the river Jabbok and spent the night wrestling a mysterious angel. The artist depicts the subject indirectly, showing a group of Breton women after a sermon in church. The women moved by the sermon see a vision of Jacob wrestling the angel. The available information about the painting comes primarily from two sources: letters written by Gauguin and writings by Post-Impressionist artist Emile Bernard. Bernard spent the summer of 1888 with Gauguin in Pont-Aven – the two worked side by side, and while Gauguin painted Vision After the Sermon Bernard worked on the painting Breton Women in the Meadow (1888). The two paintings share stylistic similarities and are both examples of Cloisonnism – a post-impressionist style characterized by bold flat forms enclosed by dark outlines. Both artists also shared an affinity for Japanese art, and Bernard wrote that the motif of Jacob wrestling the angel in Vision After the Sermon was modeled after Hokusai’s Sumo Wrestlers.
88	Modern Art	Broadway Boogie Woogie	Piet Mondrian	1942 - 1943	Neoplasticism	oil, canvas	Considered Mondrian’s masterpiece, Broadway Boogie Woogie is a shimmering combination of multi-colored grid lines, complete with blocks of color, all in the primary palette. This piece represents another development in the unique style of the artist, which may have been the most profound. After the abandonment of representational forms in 1913 and the reconciliation of his spiritual concerns with his aesthetic, Mondrian had finally developed the transition of solid black lines to lines consisting of multi-colored, vibrant hues, creating an entirely new feeling. This painting represents Mondrian’s seminal work as an artist, and unlike much of his work, is not entirely non-representational. One can see the grid of the Manhattan city streets and feel the beat of the boogie woogie music of which Mondrian was so fond.
89	Modern Art	Still Life	Le Corbusier	1920	Purism	oil, canvas	Le Corbusier’s Still Life (1920) is a typical Purist painting. He purified the colour scheme to include only the neutrals—gray, black, and white—and monochromes of green. He applied the paint smoothly to enhance the sense of impersonal objectivity. He also repeated the rhythmic, curving contours of a guitar (a favourite Cubist motif, which the Purists eventually rejected for being too picturesque) in the shoulders of a bottle and in other objects on the table; by tilting the tops of the objects toward the spectator, he gave an added emphasis to their flatness. A motif of circles is echoed in the various openings of the bottles, pipes, and containers. In such works, Le Corbusier and Ozenfant were attempting to create a “symphony of consonant and architectured forms.”
90	Modern Art	Spatial Concept: Expectations	Lucio Fontana	1959	Spatialism	Synthetic polymer paint on slashed burlap	Inspired by Futurism, Fontana sought to escape the “prison” of the flat picture surface to explore movement, time, and space. In 1949 he first developed his Spatial Concepts, puncturing and piercing the surfaces of sheets of paper to reach behind and beyond the illusionistic plane into what he called “a free space.” In the late 1950s Fontana began to slash linear cuts into stretched canvases; shedding its materiality, line became coextensive with infinite space.
91	Contemporary Art	Poured Lines: Light Violet, Green, Blue, Red, Violet	Ian Davenport	1995	Color Field Painting	Household paint on canvas	Light Violet, Green, Blue, Red, Violet lines of paint seems as if it is poured from top to bottom. 
92	Contemporary Art	Untitled	Donald Judd	1990	Minimalism	Aluminium, steel and acrylic	Untitled 1990 is a wall-based work by the American artist Donald Judd. It comprises ten identical rectangular boxes, each with sides made of blue anodised aluminium and top and bottom faces made of clear acrylic sheeting. The units are fixed to the wall at one of their long sides, and are positioned one above another in a vertical arrangement. Each box is separated from the next by a distance equal to its height, and this same distance separates the bottom of the lowest unit and the floor. The display instructions stipulate that there must also be a gap of at least the height of one box between the uppermost unit and the ceiling, and if the ceiling of the gallery is too low to accommodate this, the number of units featured in the work must be reduced in order to achieve it. The considerable depth of the units means that Untitled projects some way out from the wall, and although it has a relationship with both the wall and the space around it, works such as this were not regarded by Judd as either painting or sculpture, but rather as examples of what the artist referred to in 1965 as ‘three-dimensional work’
93	Contemporary Art	180 Colors	Gerhard Richter	1971	Conceptual Art, Op Art	Enamel paint on canvas	While many abstract paintings are about expression or purity, 180 Colors is about nothing so lofty. Richter used a systematic approach to determine the rich variety of colors: he produced its 180 different colors by combining the three primary colors to get twelve hues and then mixing fifteen tones of each varying from light to dark. The surface, composed of glossy enamel paint, is flawless and shiny. Another key element of this painting is literally not there at all: From a distance, an optical illusion of gray dots seems to hover at the corners of the colored blocks.
94	Contemporary Art	Self-Portrait	Chuck Close	2000	Photorealism	111 color silkscreen, hand-drawn separations	In Close’s work, the “pixilated” images “are filled with tiny abstract colored shapes, individual brushstrokes or even the artist’s fingerprints. When viewed from a distance, the individual marks miraculously resolve into a surprisingly realistic face,” 
95	Contemporary Art	Forever (Bicycles)	Ai Weiwei	2003	Conceptual Art, Excessivism	42 bicycles	The towering circular sculpture is created by dismantling forty-two Yongjiu bicycles, a household Chinese bicycle brand which translates to Forever. The company began producing bicycles in Shanghai in 1940, and has since then become the leading manufacturer in the country. Bicycles are part of everyday life in China, their presence ubiquitous across streets and alleyways. However, with the rapid modernisation in recent years, these ‘Forever’ brand bicycles have been slowly disappearing from the streets. The most common form of transportation, bicycles are part of the lived experience of everyday Chinese people, and are also symbolic of the peasant revolution and socialist utopia that has never been achieved. Increasingly replaced by motorcycles or cars, a tinge of nostalgia accompanies the irony of the word ‘forever’. Playfully arranged in a carousel, these fragments of bicycles speak of continuity and change, tradition and revolution. Plain, humble and deeply poetic, Ai Weiwei captures a sense of loss that pervades the rapidly changing streets of China.
96	Contemporary Art	Spiral Jetty	Robert Smithson	1970	Environmental (Land) Art	basalt rocks and water	Built on the northeastern shore of the Great Salt Lake near Rozel Point in Utah entirely of mud, salt crystals, basalt rocks and water, Spiral Jetty forms a 1,500-foot-long (460 m), 15-foot-wide (4.6 m) counterclockwise coil jutting from the shore of the lake. The water level of the lake varies with precipitation in the mountains surrounding the area, revealing the jetty in times of drought and submerging it during times of normal precipitation.
97	Contemporary Art	Flower thrower	Banksy	2003	Street art, Graffiti art	screenprint	Banksy's Love Is In The Air (Flower Thrower) prints feature a powerful anti-war image, poignantly debuted as a mural on the West Bank Wall. The artwork depicts a man dressed in black, wearing a backwards baseball cap and a bandana across his face, poised to throw an item. From the way he is dressed, the viewer first presumes he is about to throw a brick or a petrol bomb. The bundle in his hand, however, is a bouquet of flowers in a symbolic appeal for peace to replace violence.
98	Japanese Art	The Great Wave off Kanagawa	Katsushika Hokusai	1831	Ukiyo-e	woodblock print	This is the most famous print created by Katsushika Hokusai, and it continues to grow in popularity and recognition worldwide. The image is of two boats, full of Japanese sailors, coming up against the namesake of the print, the Great Wave. The wave looks as if it will swallow the boats whole, and that the boat men are sure to be devoured in the wave. Although it is such a strong image, it is simplistically beautiful, with curling blue waves and white frothy tips, which menacingly curl down into points, like claws ready to scoop the sailors out of the sea.
99	Japanese Art	​Ascension of Polkadots on the Trees	Yayoi Kusama	2006	Conceptual Art	red polyester fabric	Kusama, who is famous for her large scale polka dot-filled artworks, used bungee cords and metal staples to tightly wrap several trees in a red polyester fabric covered in white spots.
100	Korean Art	Lovers under the moon	Shin Yoon-bok	1805	Oriental painting	Color on paper	a master of genre painting of the Joseon Dynasty (1392-1910), depicts the bittersweet moment when two lovers must bid farewell after a brief rendezvous under the moonlight, capturing the basic human emotions of ardent love and heartache of separation. The painting depicts a man and woman standing, side by side on the right side of the painting. To the left, there is a crescent moon suspended in the sky over a house rooftop. The man and woman are having a rendezvous in an alleyway late at night. From his clothes we can guess the man’s status as a nobleman. Holding a lantern in his right hand, he seems to be reaching for something in his pocket with his left hand. The man’s face is turned in the opposite direction, gazing longingly at the woman with lingering affection though he seems to be reaching for something in his pocket with his left hand. The woman’s attire indicates that she is an upper-class lady. Her face, which is partly revealed below the hood, is turned toward the man, her eyes downcast with dismay.
